lost,managers,returns,asset_classes,yrs_client,profit,priority,appusage,AUM,satisfaction
0,2,-0.008200032,1,1.257444083,0,4,0.053543123,329,3
0,3,-0.007197263,1,1.95675738,1,3,0.115834981,361,6
1,4,-0.012629328,5,1.096950994,3,2,0.295280443,357,3
0,4,-0.007551321,1,1.985218153,2,3,0.061256493,533,3
0,7,0.00084633,4,2.813023512,1,8,0.136320256,398,6
0,6,0.000969674,7,2.685494352,3,8,0.202323757,555,9
0,17,-0.00644333,1,1.570505013,2,9,0.137299822,290,2
0,7,-0.014943289,1,2.023599149,1,1,0.161704028,357,2
0,7,-0.011614948,6,2.015011021,4,4,0.078867657,384,7
0,8,-0.000960031,2,1.799278019,4,5,0.113783281,325,5
1,15,-0.001573985,1,2.748024453,3,8,0.437527573,313,7
0,13,-0.006391322,1,1.081327964,2,5,0.087837536,540,6
1,12,-0.000281395,3,2.77560167,8,9,0.394074714,465,4
0,6,-0.000688864,2,1.474470388,0,3,0.06577148,277,2
1,13,-0.000306679,2,1.400326251,2,8,0.227940317,433,5
1,7,0.000933189,2,1.654659763,1,9,0.11318782,494,6
0,14,0.0011443,4,3.007059804,2,7,0.121373486,480,2
0,6,-0.008584744,1,1.027125633,1,6,0.045859479,312,2
1,7,0.005278321,4,2.01529982,4,4,0.145645761,451,8
0,6,-0.0077051,1,1.769518255,0,1,0.124707559,247,4
0,5,-0.005770746,3,2.543334985,2,6,0.067632946,399,4
1,28,0.001911269,2,2.325372363,2,7,0.2965425,619,4
0,3,0.003980085,3,1.957155475,2,9,0.13055794,570,8
1,19,0.006136273,6,2.701144301,5,9,0.284196698,552,9
1,6,-0.00159286,1,3.308803576,5,8,0.312489034,549,5
0,17,-0.004307898,4,3.540764299,5,7,0.239702862,346,5
0,3,0.001742152,1,1.838585873,0,5,0.14708018,488,9
0,8,-0.011518876,1,2.620013697,2,7,0.06427524,290,6
0,7,-0.001978454,5,3.131776832,2,5,0.174648334,442,7
1,5,-0.00882269,1,2.128827888,3,5,0.153501393,553,7
0,4,-0.000419821,2,2.342873474,1,6,0.043476158,417,5
0,12,-0.003180665,1,1.583196244,2,5,0.083779922,311,4
0,5,-0.007498402,2,2.704253361,4,7,0.210238486,346,7
0,16,-0.010543388,3,1.700140454,1,6,0.09144626,508,9
0,8,0.000780287,3,1.717930284,2,6,0.138695148,329,9
0,4,-0.002941159,3,1.834309345,2,3,0.075210042,224,6
1,11,0.006666931,4,3.632876366,3,9,0.336702054,456,9
1,15,0.000189132,4,2.302236381,2,8,0.042195011,529,8
1,6,0.002298022,1,2.46265346,3,7,0.309474284,506,3
1,13,-0.003529035,4,2.100057219,5,4,0.137762348,376,8
0,9,-0.007495753,1,2.444093456,1,7,0.200445621,522,7
1,13,-0.002995609,6,2.207286323,3,9,0.152068749,475,7
1,7,0.001720665,5,2.293227986,0,4,0.123723086,234,4
0,20,0.001349354,7,2.593875255,3,4,0.156521809,329,5
0,9,-0.007994551,2,1.28273895,2,2,0.124423686,327,4
0,8,-0.00524343,2,2.974426964,0,8,0.128604117,335,5
0,11,0.003597864,2,2.109592694,2,7,0.14525329,295,5
1,14,0.004412705,4,2.483628085,9,5,0.105916031,624,3
0,10,-0.000565129,1,1.423130656,0,5,0.161150742,423,4
0,4,-0.002774601,1,1.427753787,1,2,0.064986294,367,3
0,11,-0.000103363,5,3.005003654,2,5,0.344821511,284,7
0,12,-0.0006363,3,2.078311414,1,6,0.295425245,331,6
0,8,-0.001954079,1,2.272056123,3,8,0.071674155,566,5
0,13,-0.001631713,3,1.297769406,5,9,0.093800467,344,8
1,6,-0.000600991,2,2.341219827,2,5,0.084382701,297,5
1,13,0.001789938,4,2.696800652,7,9,0.158079732,581,9
0,13,-0.000343857,1,2.523543133,3,4,0.148446819,402,3
0,16,-0.000655691,5,3.067955177,3,7,0.361264852,418,7
0,7,0.002909037,4,2.146523735,3,9,0.177646258,425,1
1,4,0.001168257,1,2.804477798,2,9,0.176119971,478,9
0,2,0.00495598,6,3.387676878,3,7,0.22512934,454,9
0,5,-0.001688429,1,1.927387971,2,1,0.03444254,369,2
0,7,-0.005956433,2,2.274096069,2,8,0.063191602,443,4
0,6,-0.009335672,1,1.996841976,0,4,0.1373435,398,4
1,10,-0.003444778,3,2.595960227,3,9,0.159800507,560,8
0,4,-0.005978862,1,2.205360817,1,8,0.071519206,369,5
0,8,0.002548022,5,3.285667879,3,8,0.197575117,484,8
0,16,-0.009231225,6,2.772269122,6,9,0.181006201,561,8
0,8,-0.003978728,4,1.396100626,3,9,0.159171371,572,5
0,4,-0.009039543,1,1.385550093,2,7,0.097763991,315,3
0,4,-0.005722178,2,3.247768469,0,7,0.213139903,303,2
0,5,-0.000644338,1,2.195192439,2,9,0.093755932,425,8
1,8,0.00051253,2,3.067411076,5,4,0.214484852,509,4
1,9,0.004188024,6,3.560544331,3,5,0.093924665,475,6
0,8,0.001800326,2,1.830809569,2,2,0.197861556,350,6
0,2,-2.59E-06,1,2.783070383,3,8,0.069154497,481,7
0,8,-0.002304178,4,2.054726721,3,2,0.07153289,454,6
0,4,-0.008305346,3,2.639661931,3,5,0.076719098,477,4
0,6,0.004814502,2,1.809969272,2,4,0.249427291,528,5
0,6,-0.00422818,2,2.340783375,1,3,0.251306363,387,4
0,11,-0.001337348,3,2.421850615,1,6,0.192786936,468,3
1,10,-0.000619619,1,2.537869352,0,5,0.149196101,422,3
1,10,-0.005368473,5,2.882381197,0,6,0.179198577,418,8
1,15,-0.00704631,5,2.846583312,7,6,0.242896424,498,6
0,4,-0.01278159,1,1.384328645,2,3,0.172054184,268,3
0,2,-0.005188759,7,2.427727965,5,3,0.186074253,719,4
0,6,-0.008784741,1,1.988920737,4,4,0.073827254,259,4
0,11,-0.008723605,2,1.75952211,1,9,0.165248393,321,8
0,8,-0.003700488,2,1.997658934,1,7,0.168067678,446,9
0,6,-0.011441688,5,1.1993961,1,4,0.037038107,337,3
0,5,-0.018346435,2,1.315603836,2,4,0.066202293,403,4
0,4,-0.003802553,1,2.444639364,4,7,0.279564617,403,8
0,6,-0.012865478,2,2.236505342,1,4,0.050263202,303,2
0,5,0.00356955,1,2.307640518,1,3,0.137546762,391,2
0,4,-0.014200316,1,1.39390619,2,4,0.025724324,381,4
0,2,-0.001376797,1,2.239064306,4,7,0.142870239,543,6
0,19,-0.008387557,3,2.10263578,2,3,0.14470122,500,3
1,3,-0.009928375,2,1.875329992,0,4,0.031007567,164,5
1,5,-0.005718791,6,2.590280831,2,8,0.191609665,563,9
0,3,-0.008699923,1,1.533673277,4,3,0.096673072,240,2
0,11,-0.009394686,1,2.449417695,2,5,0.13848419,494,6
0,5,-0.005585694,1,1.977619635,0,3,0.04201187,402,6
0,6,0.005905099,5,2.638467613,1,7,0.13819206,298,6
0,20,-0.007205216,2,2.328139828,6,7,0.183409173,709,6
0,10,-0.015931144,4,1.32855621,3,2,0.040989445,555,5
0,7,-0.001298826,1,2.048542626,0,4,0.342784055,230,9
0,9,-0.001871798,1,2.329483114,5,6,0.121906243,687,7
0,6,-0.01189856,1,1.611457921,0,3,0.219524536,416,4
1,7,-0.008370781,1,2.000996387,0,4,0.094267231,543,4
1,8,-0.000970215,3,2.637726992,3,6,0.122979212,486,7
0,2,-0.012369271,2,1.718087476,1,2,0.189574974,184,5
0,5,-0.008793306,1,3.323930773,6,5,0.149754678,437,8
0,9,-0.008851965,2,2.421517933,1,7,0.266535319,381,7
0,5,-0.007363299,1,1.650187449,0,5,0.136329586,414,6
0,16,-0.01522022,1,1.526832441,2,4,0.109544725,397,2
0,8,-0.010649307,1,2.451707756,0,6,0.103123683,305,3
0,7,0.002123083,1,1.990306004,1,3,0.105155133,464,5
0,6,-0.000240344,3,1.619485683,3,3,0.109384174,392,8
0,12,-0.003485799,3,2.224810777,3,5,0.403652899,424,9
0,8,-0.013147602,3,1.595501007,3,7,0.04852393,328,5
0,6,-0.002452595,1,2.338996053,1,5,0.074558815,314,3
0,14,-0.004904702,3,1.592883113,5,8,0.16683369,455,5
0,7,8.42E-05,1,0.920941981,2,6,0.242140445,398,5
0,11,0.004654837,1,1.429993017,1,5,0.099694397,442,7
1,16,-0.007970956,4,1.517437476,2,4,0.063438785,389,4
0,14,0.000199648,3,3.783327895,5,6,0.095578749,619,7
0,10,-0.010315321,3,2.241443376,3,3,0.067267482,435,4
0,13,3.43E-05,3,1.883097077,4,9,0.191221387,371,9
1,10,-0.009286334,1,2.176473817,3,5,0.072371886,428,2
0,2,-0.003747881,1,1.699970162,0,5,0.233341046,455,5
0,8,0.00057937,3,1.892985826,4,5,0.059959315,337,4
0,4,-0.002452576,1,2.137770635,3,8,0.092147503,405,2
0,4,-0.004419351,2,2.599448593,0,4,0.287375718,544,9
0,9,0.001185914,4,1.545840408,8,6,0.20747095,463,8
0,18,0.004996603,1,2.586125184,4,6,0.219906917,381,8
1,8,-0.001120139,2,2.309871683,5,2,0.091562645,328,9
0,9,-0.008585293,1,1.777701264,4,6,0.093037429,239,8
1,13,0.00159096,1,2.515316423,1,8,0.344123463,472,6
0,12,-0.007345284,1,1.223463364,3,4,0.056889095,354,6
1,2,-0.007356321,1,2.132949253,1,4,0.128072793,534,8
0,6,0.000743659,1,1.266428881,0,7,0.076210359,269,2
0,4,-0.010317825,1,1.87996453,1,4,0.029338377,371,3
0,2,-0.007379313,1,2.235680829,0,2,0.079174589,252,3
1,9,-0.002036913,2,2.125265517,0,8,0.062780284,448,7
0,8,-0.007955492,1,1.786475412,4,3,0.080221391,481,7
0,7,-0.01462372,1,1.568005501,0,5,0.117622197,469,4
0,12,-0.006632251,3,0.565228245,0,8,0.057868389,344,4
0,10,-0.002212349,4,2.304895339,2,6,0.127375456,592,3
0,6,-0.008039552,1,1.040027366,0,4,0.115608243,286,7
0,13,-0.00215134,1,2.155481022,1,8,0.120512238,353,6
1,6,-0.001307855,3,2.372553047,6,7,0.214771082,508,8
0,2,-0.014869898,1,1.304364596,1,5,0.054769652,321,3
0,18,-0.005096683,1,2.576807403,3,9,0.142749396,370,8
1,20,0.004281687,3,3.166291198,6,8,0.47816484,658,8
0,10,-0.005897782,2,2.501620958,3,5,0.059472622,464,9
0,5,-0.008232555,3,1.429434064,4,8,0.093676557,385,5
0,4,-0.012135122,1,1.723897878,0,6,0.109897699,315,3
1,7,-0.008414597,5,2.322932829,3,7,0.10155164,522,8
0,7,-0.002890072,1,1.625172896,1,1,0.078027606,366,2
1,14,0.004774597,4,2.20664337,6,6,0.309351105,503,9
0,8,-0.006915113,3,2.094324305,3,5,0.092079817,487,8
0,4,0.000104195,1,2.467351366,2,7,0.20616475,626,6
0,19,-0.005512258,3,1.603790026,3,6,0.074528617,580,8
0,8,-0.003167091,3,1.432039947,4,2,0.066995512,356,3
0,4,-0.009989439,3,2.651177141,3,3,0.069319023,330,5
1,12,0.004895105,1,1.711410821,4,3,0.051581338,368,5
0,6,-0.012592475,1,1.977871767,3,6,0.054415271,334,3
0,12,-0.002629413,4,2.539574576,5,6,0.102472642,405,9
0,10,-0.017722083,2,1.794538495,3,7,0.153864298,467,8
0,4,-0.010726944,1,2.652881882,2,5,0.110516079,409,2
0,10,-0.001137725,2,3.240161281,4,9,0.094960681,683,3
1,6,0.000523527,3,1.839199193,2,9,0.289003407,430,4
1,5,-0.003499178,4,1.709399771,1,7,0.162500581,419,3
0,13,-0.00656853,4,2.120717327,2,5,0.060706712,408,6
0,9,-0.004990354,3,1.136725645,3,4,0.148185535,268,3
0,3,-0.00828496,1,1.578428564,4,3,0.076320448,456,4
1,5,-0.000145463,5,1.99923542,1,3,0.20585345,287,3
0,13,-0.00028462,1,2.545755432,0,6,0.136462576,345,5
0,4,-0.013533266,3,1.962086354,2,8,0.121760789,458,6
0,11,-0.001295466,5,2.876536971,4,8,0.196260577,332,9
1,16,0.000831023,5,2.14192079,5,9,0.284129975,580,4
0,7,0.001000999,3,2.081556383,4,6,0.278573374,411,9
0,6,-0.003832156,2,1.537273463,1,2,0.123225983,391,1
0,10,-0.003028722,1,2.184698386,4,8,0.705944836,503,5
0,3,-0.016600731,4,0.936045259,1,3,0.058663108,419,4
0,5,-0.006881029,1,3.042757668,2,7,0.10677547,464,5
0,11,-0.008384681,2,1.942712518,2,6,0.303046853,343,4
0,9,0.007442186,2,2.684364348,2,4,0.354595342,441,6
0,10,-0.006587595,1,1.937340837,1,5,0.08587799,578,6
0,5,-0.005981677,3,2.271773171,4,5,0.118861742,374,5
0,8,-0.007226032,4,1.185568738,3,9,0.088011608,486,6
0,11,0.00096586,3,2.070729042,2,4,0.164304065,576,6
1,10,-0.00335948,1,1.542432632,0,3,0.102235798,358,7
0,3,-0.007917519,2,1.393558595,1,2,0.119588736,318,2
0,8,-0.000654267,2,2.59759263,5,5,0.068907472,502,6
0,7,0.003749925,2,2.297840184,3,7,0.187539291,445,9
0,10,0.001046807,4,1.660853354,3,8,0.143352431,359,8
0,5,-0.003522422,2,1.325676898,3,6,0.037633637,286,1
0,3,-0.009715051,1,1.223936095,0,5,0.167795525,410,5
1,12,0.003506069,6,3.054020243,5,6,0.249609571,558,6
0,14,0.002795439,2,2.043815433,3,8,0.216031064,533,5
0,13,-0.000886368,3,2.765586658,4,8,0.21429729,457,6
0,5,-0.007607636,1,1.806433654,0,2,0.102428521,437,3
0,5,0.000352822,3,1.948176759,1,5,0.110940054,327,7
0,6,-0.001565133,1,1.423248448,1,2,0.337941048,529,3
1,7,0.002404204,1,1.379750479,5,3,0.09177088,452,4
0,2,-0.009495977,1,1.375899047,2,2,0.095980145,322,6
0,8,-0.017703005,1,1.941552302,0,4,0.068212355,492,5
1,2,0.002520914,1,2.295216649,2,4,0.16484681,354,5
0,7,0.00098069,2,3.030418737,1,5,0.145837395,554,6
0,5,-0.011703557,1,1.299482614,1,4,0.070289686,297,3
0,3,-0.005666661,4,2.219137165,0,4,0.0769169,444,8
0,13,-0.007756862,1,2.435008327,3,6,0.157262773,301,8
0,13,-0.007952812,1,2.486938066,0,9,0.093402969,438,1
1,8,-0.001868137,1,2.273263156,3,9,0.170241558,405,5
1,19,0.003038435,4,2.450680982,6,8,0.271061701,611,7
0,5,-0.010234767,3,1.511975129,5,5,0.152288633,444,2
0,7,-0.00979296,2,1.562821542,2,4,0.116300964,445,4
1,19,-0.002780391,3,2.996405364,5,4,0.288882767,349,4
0,6,0.002770952,5,1.97862666,3,5,0.187813048,477,6
0,4,-0.006385621,1,1.272832383,2,6,0.104399061,477,5
1,10,-0.003528347,3,2.604487702,4,6,0.157716733,379,9
1,12,0.001618645,2,2.63967798,3,4,0.330935333,495,5
0,7,-0.011281682,3,1.362389294,1,8,0.044634916,280,3
0,19,0.002288724,1,2.189799196,2,3,0.336672851,585,6
0,5,-0.009840888,1,1.091014567,0,4,0.078247842,294,6
0,11,-0.000710374,2,2.201409224,3,8,0.283534553,504,7
0,7,-0.004823123,1,1.388897465,2,4,0.098489587,396,4
0,6,0.003777153,5,1.880228032,5,6,0.215049087,400,4
0,2,-0.001006076,2,1.637285744,2,6,0.052672107,325,6
0,3,0.002104862,1,2.114042991,4,8,0.1144926,403,7
0,5,-0.014757718,2,1.941436168,3,4,0.152023228,311,9
0,6,-0.01029516,1,1.827568223,2,5,0.12234003,240,7
0,8,-0.002818496,4,1.596452923,5,5,0.078479538,434,3
0,5,-0.009429721,1,2.135682824,2,3,0.134519511,406,5
0,12,0.006621167,1,2.535798931,6,5,0.131274862,262,5
0,12,-0.007263772,1,1.198439318,2,7,0.125076839,436,6
0,13,-0.003464479,4,2.557644152,4,5,0.137134163,569,4
0,11,-0.004856517,5,3.108758311,3,4,0.234002421,553,8
0,3,-0.011425315,4,1.852823841,0,6,0.026532002,327,6
1,17,0.008719786,6,2.623971586,7,9,0.205178224,601,8
0,6,-0.004252161,1,1.697202916,5,2,0.091424229,388,7
0,6,0.000968029,1,2.171622984,1,3,0.116016404,346,5
0,6,0.001127958,3,2.907242108,3,9,0.203507395,376,6
0,4,-0.012307547,1,2.616743375,1,5,0.091970602,474,5
0,4,-0.015475563,1,2.684300429,1,4,0.071399684,446,5
0,9,-0.003264756,1,2.26226161,0,5,0.078933455,341,6
0,9,6.61E-05,1,2.341255177,5,8,0.123684679,385,5
0,18,0.000887622,1,2.221105155,3,6,0.184376462,487,9
0,7,-0.005781234,3,1.802661997,1,4,0.171190244,312,7
0,2,-0.008876399,2,1.757654451,0,4,0.059062993,313,7
0,9,0.001398908,3,1.922032631,2,3,0.123137891,476,9
0,9,-0.005620842,2,1.487021882,1,4,0.183320709,426,5
0,11,0.00409361,3,1.882708648,5,5,0.17261118,579,9
1,13,-0.007224343,4,2.547783463,4,9,0.133959542,582,5
1,9,-0.001778789,4,2.139917222,1,9,0.12859215,327,8
0,5,-0.009404686,1,2.079856021,3,3,0.092996255,369,8
1,4,-0.00267398,4,2.797383802,5,9,0.134961252,489,4
1,12,0.005072865,4,2.583012654,5,5,0.229392618,604,7
1,14,-0.002891839,5,2.633700319,1,3,0.244622587,547,8
0,6,0.001079937,1,2.239631626,0,2,0.088993796,452,5
0,8,-0.013074808,2,1.779981735,1,6,0.062263111,268,3
1,11,0.002351039,1,3.180921192,3,5,0.123407313,464,7
0,10,-0.000529089,1,3.267487515,7,4,0.23811515,530,5
0,9,-0.001153839,5,2.382055532,3,5,0.10818455,406,9
1,16,0.006340942,5,2.310420394,4,7,0.388470079,564,6
0,9,-0.002557122,1,2.625757837,2,3,0.121690545,420,6
0,5,-0.006848635,1,0.866162181,3,4,0.039293459,527,4
1,18,0.013831605,2,2.647025874,5,7,0.367182444,657,8
0,13,-0.014125296,3,1.648776016,0,5,0.111551257,446,3
1,9,-0.002925975,2,2.891748652,9,7,0.199252033,434,9
0,9,-0.006620465,3,2.181611632,1,6,0.337863061,426,5
0,4,-0.002519873,2,1.904224904,1,3,0.097024768,458,6
1,13,0.007383288,2,2.148046797,4,6,0.318055273,608,8
0,2,-0.00987111,1,1.945017804,0,3,0.080102394,313,3
0,3,-0.00614858,1,2.272376751,0,7,0.143068244,319,6
0,12,0.001811646,4,2.521961329,2,6,0.154416062,596,9
1,5,0.004640083,4,2.553531688,3,7,0.117854753,524,7
0,7,-0.000425249,3,2.674341062,5,4,0.094617856,630,4
0,10,0.002012336,1,1.093917575,4,6,0.135418088,357,9
0,10,-0.004039606,3,2.035700231,2,4,0.076305908,419,5
0,7,-0.00633779,3,1.52334591,2,7,0.113933971,566,5
0,15,-0.002533807,3,3.070648674,6,6,0.097950144,582,5
0,11,0.007530392,4,2.117163321,3,4,0.159052269,640,9
0,10,-0.00038466,3,2.05078535,2,4,0.095736727,394,3
1,13,-0.000490284,1,1.585497977,2,5,0.377436685,423,7
0,9,-0.016523975,2,1.550344708,3,7,0.07957341,491,6
0,3,-0.019725146,1,1.344395045,0,4,0.097854533,352,2
0,5,-0.007991577,1,1.07947949,2,2,0.104828846,283,2
0,12,-0.001528502,1,1.970610133,3,6,0.092791937,363,3
0,5,-0.008240839,2,1.329056261,0,1,0.149461975,314,5
0,10,-0.00195418,1,1.800818003,1,6,0.087968324,326,7
0,19,1.83E-05,4,2.704887447,2,8,0.099652821,546,9
1,5,6.34E-05,4,2.271332199,3,4,0.189752018,461,6
0,5,-0.008115779,1,1.989846361,1,5,0.050958527,507,3
1,7,-0.006721003,3,2.116292251,2,6,0.06672642,509,4
1,2,-0.006125329,1,2.978161626,3,4,0.153600651,589,8
0,3,-0.005157241,4,1.406700593,2,3,0.072732047,287,4
0,4,-0.015841984,4,1.171453407,2,6,0.033284077,287,5
0,10,-0.004762895,1,2.180285186,1,4,0.130478619,480,7
0,13,0.005919709,3,2.382844523,5,5,0.177346753,534,7
0,9,-0.00458638,5,2.058384047,1,4,0.089494545,388,3
0,5,-0.010721404,2,2.140065317,1,3,0.107621641,372,4
0,12,-0.001014615,4,2.822724255,3,7,0.110966917,451,7
1,4,-0.006594481,3,2.587362431,2,3,0.125516991,463,7
0,8,-0.001588221,1,2.146056067,1,3,0.167119546,315,9
0,8,-0.007045441,1,1.855327381,3,5,0.13614961,411,3
0,7,0.004904981,7,2.445828779,2,7,0.129543518,430,6
0,6,-0.002919241,1,1.629187242,4,5,0.05744221,284,3
0,13,-0.008900139,5,3.012715635,2,9,0.181264706,377,6
0,10,-0.006747149,4,2.726719767,4,5,0.098412986,604,5
0,5,-0.014766626,5,2.445305378,2,3,0.186735763,270,9
1,11,0.002881023,7,2.530439888,5,7,0.102244778,661,9
0,2,-0.000805491,1,1.857635345,0,6,0.101800986,353,9
1,6,-0.001638004,5,1.798872092,2,8,0.117454311,489,5
