"DATE","GBPUSD","EURUSD","USDJPY","VOL","OIL","SP500","INTO_USD","NUM_FAILS"
"21/12/1989 00:00",1.613,1.207583625,143.67,0.081061328,21.52,349.45,-1115,11
"22/12/1989 00:00",1.621,1.216397032,142.85,0.077708608,21.29,351.05,-979,7
"27/12/1989 00:00",1.625,1.227445686,142.05,0.0784792,21.78,353.25,-893,9
"28/12/1989 00:00",1.6123,1.2292563,143.27,0.078441984,21.5,354.85,-991,1
"29/12/1989 00:00",1.6125,1.227295042,143.8,0.078580512,21.82,356.35,-1174,1
"02/01/1990 00:00",1.6145,1.214624074,146.05,0.087176496,22.89,362.5,-1415,10
"03/01/1990 00:00",1.613,1.209628644,145.47,0.087267328,23.68,361.7,-1540,4
"04/01/1990 00:00",1.6267,1.228652169,144.05,0.095710912,23.41,359.85,-975,15
"05/01/1990 00:00",1.6392,1.235788433,143.8,0.094648528,23.08,354.6,-786,5
"08/01/1990 00:00",1.6515,1.245174947,144.2,0.095700384,21.62,357.55,-777,7
"09/01/1990 00:00",1.654,1.235635735,145.17,0.100394384,22.07,352.2,-791,7
"10/01/1990 00:00",1.659,1.236093943,145,0.100174128,22.9,351.3,-754,0
"11/01/1990 00:00",1.6582,1.236705417,145.2,0.098755264,23.14,351.85,-911,0
"12/01/1990 00:00",1.669,1.240848741,145.27,0.098086128,23.13,340.95,-1138,3
"15/01/1990 00:00",1.6657,1.231678778,145.27,0.101307872,22.36,339.2,-1492,7
"16/01/1990 00:00",1.656,1.227144435,145.3,0.101902768,22.78,342.1,-1717,3
"17/01/1990 00:00",1.654,1.234263145,145.57,0.102605232,22.1,338.75,-1913,5
"18/01/1990 00:00",1.647,1.221001221,146.02,0.109033776,22.76,340.85,-2611,10
"19/01/1990 00:00",1.6436,1.218175174,145.8,0.109410944,23.67,342.2,-2575,2
"22/01/1990 00:00",1.6395,1.211827436,146.3,0.108410544,21.77,331.4,-2545,5
"23/01/1990 00:00",1.644,1.225340032,146.1,0.111290864,21.6,330.25,-2864,11
"24/01/1990 00:00",1.6562,1.237317496,145.27,0.113688768,21.59,333.1,-2599,9
"25/01/1990 00:00",1.654,1.231223836,144.75,0.115238608,22.24,326.75,-3696,4
"26/01/1990 00:00",1.6605,1.233349778,143.17,0.11099264,22.56,326.8,-2904,1
"29/01/1990 00:00",1.6795,1.244555072,142.92,0.112612752,22.8,326.7,-1882,9
"30/01/1990 00:00",1.6847,1.24331717,143.75,0.112675664,22.46,325.2,-1501,0
"31/01/1990 00:00",1.6802,1.23685838,144.4,0.113583712,22.68,330.5,-1590,5
"01/02/1990 00:00",1.6825,1.239464551,144.8,0.113628816,22.7,330.1,-2365,2
"02/02/1990 00:00",1.68,1.235177866,145.47,0.113399424,23.02,332.5,-3470,3
"05/02/1990 00:00",1.695,1.247038284,145.55,0.113612496,22.39,333.4,-3231,9
"06/02/1990 00:00",1.7025,1.256755058,144.85,0.110781856,22.51,330.25,-2226,7
"07/02/1990 00:00",1.6995,1.25738715,145.4,0.10933232,22.32,335.8,-2453,0
"08/02/1990 00:00",1.6875,1.246105919,145.07,0.110476528,22.09,335.3,-3406,9
"09/02/1990 00:00",1.6905,1.242699143,145.35,0.110834208,21.74,334.4,-344,2
"12/02/1990 00:00",1.696,1.247660636,144.3,0.111161936,22.03,330.75,-3028,3
"13/02/1990 00:00",1.6887,1.240694789,144.3,0.107842144,21.9,332.65,-3051,5
"14/02/1990 00:00",1.6952,1.24595066,144.35,0.10729816,22.07,333.3,-2840,4
"15/02/1990 00:00",1.6942,1.240848741,144.47,0.09869592,22.84,336.15,-2288,4
"16/02/1990 00:00",1.6925,1.238236751,144.3,0.097527232,22.42,333.2,-2235,2
"20/02/1990 00:00",1.7042,1.244864932,145.4,0.093208096,22.14,328.75,-1993,5
"21/02/1990 00:00",1.714,1.251251251,145.3,0.094288192,21.74,329.3,-2238,5
"22/02/1990 00:00",1.715,1.249687578,145.82,0.094411472,21.75,326.75,-2017,1
"23/02/1990 00:00",1.7075,1.244555072,146.75,0.094835424,21.42,325.5,-2668,4
"26/02/1990 00:00",1.696,1.236399604,148.82,0.094275888,21.79,329.85,-2937,6
"27/02/1990 00:00",1.6897,1.239464551,148.65,0.093791872,21.58,331.35,3214,2
"28/02/1990 00:00",1.6905,1.234110823,148.8,0.093254128,21.54,332.95,-2586,4
"01/03/1990 00:00",1.6692,1.22324159,149.42,0.09141096,21.17,333.8,146,8
"02/03/1990 00:00",1.6547,1.220703125,149.8,0.091358544,21.35,335.9,531,2
"05/03/1990 00:00",1.6412,1.227747084,149.42,0.091371904,21.58,334.5,1589,5
"06/03/1990 00:00",1.6492,1.2300123,149.7,0.0856692,19.33,339.2,1790,1
"07/03/1990 00:00",1.6397,1.22488976,151.17,0.081436832,20.93,336.95,2068,4
"08/03/1990 00:00",1.6412,1.228350326,150.87,0.080718208,20.78,340.55,1357,2
"09/03/1990 00:00",1.6197,1.228652169,151.22,0.080541968,20.43,342.05,1816,0
"12/03/1990 00:00",1.6102,1.225189904,152.22,0.075941712,20.24,342.65,2272,2
"13/03/1990 00:00",1.6005,1.216989169,152.85,0.078064928,20.22,339.55,2345,6
"14/03/1990 00:00",1.61,1.222344457,152.07,0.078221808,20.05,341.35,2290,4
"15/03/1990 00:00",1.6115,1.224589762,152.85,0.078149712,20.38,342.2,2096,1
"16/03/1990 00:00",1.6242,1.233501912,152.05,0.080671808,20.07,345.25,1473,7
"19/03/1990 00:00",1.617,1.243935813,153.4,0.079541184,19.6,347.6,1725,8
"20/03/1990 00:00",1.6105,1.233806292,153.67,0.07929088,19.77,345.6,2155,8
"21/03/1990 00:00",1.5942,1.225340032,154.32,0.08128432,19.96,342.2,2746,6
"22/03/1990 00:00",1.6002,1.226843332,155.05,0.077640928,20,339.1,2630,1
"23/03/1990 00:00",1.6062,1.225490196,153.2,0.077375056,20.39,340.8,2422,1
"26/03/1990 00:00",1.6127,1.222344457,156.22,0.076410896,20.46,341.75,2044,2
"27/03/1990 00:00",1.6235,1.224140042,157,0.075176416,20.48,345.55,1746,1
"28/03/1990 00:00",1.6285,1.225640397,158.9,0.074031088,20.08,345.9,1459,1
"29/03/1990 00:00",1.631,1.232741617,157.07,0.075454928,20.05,343.9,3409,5
"30/03/1990 00:00",1.6455,1.236246755,157.85,0.075744944,20.28,341.45,-1368,2
"02/04/1990 00:00",1.6295,1.231223836,159.65,0.075056,20.48,341.9,1434,4
"03/04/1990 00:00",1.634,1.233958539,158.82,0.075406784,20.3,347.35,2037,2
"04/04/1990 00:00",1.6425,1.234872808,157.95,0.073699296,19.78,343.2,-821,0
"05/04/1990 00:00",1.6422,1.233501912,157.52,0.073686848,19.43,344.25,-2156,1
"06/04/1990 00:00",1.6387,1.237317496,157.27,0.073514896,19.15,343.7,-17,3
"09/04/1990 00:00",1.6397,1.240540876,157.07,0.071339696,18.44,344.4,-3045,2
"10/04/1990 00:00",1.6343,1.240233164,158.4,0.070985648,17.68,344.3,-2522,0
"11/04/1990 00:00",1.643,1.252191335,158.17,0.074994912,18.06,345.2,-2287,9
"12/04/1990 00:00",1.6435,1.253289886,158.17,0.069492096,17.78,348.1,-2357,0
"17/04/1990 00:00",1.6297,1.247972045,160.07,0.070571472,17.44,347.2,-281,4
"18/04/1990 00:00",1.6365,1.253604112,159.15,0.069877536,16.96,342.9,59,4
"19/04/1990 00:00",1.6442,1.251407834,156.82,0.070145056,18.06,339.6,-2791,1
"20/04/1990 00:00",1.6407,1.246105919,157.5,0.07018864,18.82,336.4,-2241,4
"23/04/1990 00:00",1.6365,1.237011381,157.5,0.073498976,19.07,332.65,-3040,7
"24/04/1990 00:00",1.6347,1.239157373,158.77,0.073629376,19,332.45,-3168,1
"25/04/1990 00:00",1.637,1.247972045,158.55,0.075603984,18.66,334.25,-2740,7
"26/04/1990 00:00",1.6348,1.251877817,158.37,0.072586544,18.47,335.3,-3125,3
"27/04/1990 00:00",1.6347,1.25,159.05,0.072154704,18.54,328.85,-3515,1
"30/04/1990 00:00",1.635,1.251094708,158.95,0.072081216,18.54,332.1,-125,0
"01/05/1990 00:00",1.6387,1.249531426,158.65,0.069506848,18.88,333.65,-1536,1
"02/05/1990 00:00",1.6415,1.247660636,158.1,0.06535384,18.68,336.95,-3715,1
"03/05/1990 00:00",1.642,1.249375312,157.92,0.06044808,17.99,337.15,-122,1
"04/05/1990 00:00",1.6592,1.257229067,158.4,0.05860152,17.98,339.9,-3207,6
"08/05/1990 00:00",1.6687,1.2667849,157.77,0.061799648,18.28,345.1,-2363,7
"09/05/1990 00:00",1.6793,1.280573697,156.7,0.067648128,18.99,344.95,-1745,10
"10/05/1990 00:00",1.6737,1.278935925,157.02,0.067071088,19.02,345.05,-2024,1
"11/05/1990 00:00",1.6805,1.284026708,152.92,0.067455648,18.95,354.25,-1612,3
"14/05/1990 00:00",1.6807,1.275347532,152.9,0.071758544,19.71,356.9,-2459,6
"15/05/1990 00:00",1.6795,1.273074475,150.77,0.071012896,19.59,356.5,-2656,1
"16/05/1990 00:00",1.6797,1.275998469,151.8,0.070910992,19.03,355.35,-1976,2
"17/05/1990 00:00",1.69,1.272912424,152.32,0.070016256,18.87,355.95,-2154,2
"18/05/1990 00:00",1.6898,1.270971022,152.82,0.07034664,18.76,355.6,-2353,1
"21/05/1990 00:00",1.6925,1.264542236,153.37,0.072539296,18.26,359,-2229,5
"22/05/1990 00:00",1.6917,1.257229067,151.65,0.0748804,18.92,360.8,-2089,5
"23/05/1990 00:00",1.695,1.256597135,151.05,0.074575952,18.14,360.75,-2057,0
"24/05/1990 00:00",1.6927,1.256755058,151.55,0.074314752,17.83,359.85,-2473,0
"25/05/1990 00:00",1.6902,1.250468926,149.67,0.075985824,17.8,355.35,-2934,5
"29/05/1990 00:00",1.6932,1.256597135,150.82,0.07202952,17.98,362.6,-2472,4
"30/05/1990 00:00",1.6977,1.252661907,151.17,0.072607616,18.08,363,-2553,3
"31/05/1990 00:00",1.6775,1.238390093,152.45,0.079081648,17.4,361.75,-304,11
"01/06/1990 00:00",1.6845,1.243162606,151.1,0.078755456,17.5,363.55,-3601,3
"04/06/1990 00:00",1.6717,1.237317496,152.8,0.07971328,17.14,368.75,-1092,4
"05/06/1990 00:00",1.681,1.240848741,152.62,0.079367776,16.68,367.75,-678,2
"06/06/1990 00:00",1.6872,1.244400199,152.6,0.076762672,16.92,365.95,2210,2
"07/06/1990 00:00",1.6882,1.241619071,152.57,0.076937984,16.67,363.9,421,2
"08/06/1990 00:00",1.683,1.237623762,153.35,0.074487472,16.78,364.45,528,3
"11/06/1990 00:00",1.6852,1.241927471,154.55,0.074633936,16.82,367.8,736,3
"12/06/1990 00:00",1.7015,1.242699143,154.45,0.07458136,17.51,371.6,3237,0
"13/06/1990 00:00",1.7085,1.242699143,154.67,0.07451424,17.58,370.4,2214,0
"14/06/1990 00:00",1.709,1.24409057,154.02,0.074547728,17.13,368.5,2447,1
"15/06/1990 00:00",1.7032,1.237164419,154.32,0.076139888,16.62,367.95,102,5
"18/06/1990 00:00",1.7097,1.249219238,154.07,0.081435008,15.94,361.9,1818,9
"19/06/1990 00:00",1.7175,1.256913022,153.75,0.081349824,15.65,363.6,-1037,6
"20/06/1990 00:00",1.7202,1.250781739,154,0.079216224,16.75,364.4,-562,4
"21/06/1990 00:00",1.7257,1.253761284,154.82,0.072155152,16.94,366.9,-225,2
"22/06/1990 00:00",1.7292,1.254075746,154.87,0.072186112,17.46,360.15,30,0
"25/06/1990 00:00",1.7315,1.255965838,155.4,0.071142544,17.38,357.6,-3173,1
"26/06/1990 00:00",1.7366,1.255650427,155.05,0.068761408,17.14,355.95,-3437,0
"27/06/1990 00:00",1.7422,1.26486213,154.37,0.072323168,16.68,359.45,-2747,7
"28/06/1990 00:00",1.7387,1.261193089,153.07,0.072325088,17.15,362.15,-1909,2
"29/06/1990 00:00",1.744,1.26246686,152.15,0.07216824,17.07,362.35,-2060,1
"02/07/1990 00:00",1.7587,1.27000254,151.15,0.074297696,16.72,364.4,-1213,5
"03/07/1990 00:00",1.77,1.271617497,151.47,0.072790192,16.8,364,-1227,1
"05/07/1990 00:00",1.7845,1.277139208,150.7,0.072612656,16.5,359.8,-1066,4
"06/07/1990 00:00",1.788,1.274047649,151.02,0.073121312,16.47,362.25,-949,2
"09/07/1990 00:00",1.808,1.278608874,150.95,0.071740704,16.58,363.1,-766,3
"10/07/1990 00:00",1.8177,1.282051282,148.52,0.070901008,16.94,360.5,-796,2
"11/07/1990 00:00",1.8015,1.277628721,148.55,0.07105808,17.47,365.4,-1133,3
"12/07/1990 00:00",1.789,1.268874508,148.8,0.06517736,18.46,369.45,-1513,6
"13/07/1990 00:00",1.8047,1.279263144,147.67,0.068097712,18.36,370.9,-910,8
"16/07/1990 00:00",1.8035,1.273560876,147.9,0.067920944,18.67,372.3,-1300,4
"17/07/1990 00:00",1.8095,1.275998469,148.22,0.067745904,18.65,370.4,-1442,1
"18/07/1990 00:00",1.8247,1.284686536,147.1,0.069676208,18.55,367.15,-1032,6
"19/07/1990 00:00",1.8147,1.281065847,147.82,0.069941168,18.99,368.45,-1318,2
"20/07/1990 00:00",1.8145,1.282380097,149.02,0.068744752,20.06,364.8,-1365,1
"23/07/1990 00:00",1.8215,1.291322314,148.5,0.070494448,20.5,357.8,-1184,6
"24/07/1990 00:00",1.8237,1.296512382,148.67,0.070900624,20.56,357.65,-1128,4
"25/07/1990 00:00",1.8085,1.297690112,148.87,0.0707904,20.38,359.65,-1595,0
"26/07/1990 00:00",1.8115,1.298364061,150.62,0.070836336,20.3,358.25,-1379,0
"27/07/1990 00:00",1.8347,1.303271211,149.4,0.067878064,20.04,355.5,-1094,3
"30/07/1990 00:00",1.8447,1.309243257,148.15,0.06411856,20.21,358.25,-1190,4
"31/07/1990 00:00",1.8592,1.323626737,146.27,0.068507776,20.69,358.6,-961,10
"01/08/1990 00:00",1.853,1.321702353,147.17,0.066278928,21.54,357.45,-1396,1
"02/08/1990 00:00",1.8412,1.313715187,150.15,0.070144528,23.11,353.9,-1718,6
"03/08/1990 00:00",1.8567,1.322751323,149.7,0.071694576,24.49,346.65,-1245,6
"06/08/1990 00:00",1.8765,1.337255951,149.45,0.076479312,28.05,334.4,-1106,10
"07/08/1990 00:00",1.8777,1.33386688,149.7,0.0773836,28.31,337.2,-1316,2
"08/08/1990 00:00",1.8667,1.320306311,149.77,0.083494016,25.96,339.55,-1424,10
"09/08/1990 00:00",1.8705,1.321702353,149.82,0.08247408,25.67,341.4,-1041,1
"10/08/1990 00:00",1.8697,1.320306311,150.02,0.082816464,26.23,337.3,-1466,1
"13/08/1990 00:00",1.886,1.336362421,150.37,0.087537728,26.77,339.8,-874,12
"14/08/1990 00:00",1.8902,1.339943722,149.77,0.087573488,26.42,340.75,-877,2
"15/08/1990 00:00",1.9067,1.351168761,146.8,0.08883872,26.46,341.65,-851,8
"16/08/1990 00:00",1.898,1.346257404,147.85,0.08970824,27.36,331.75,-848,3
"17/08/1990 00:00",1.9155,1.354279523,147.77,0.089594976,28.63,328.65,-615,5
"20/08/1990 00:00",1.919,1.347527287,146.55,0.091768848,28.56,329.7,-846,5
"21/08/1990 00:00",1.9225,1.348254011,146.5,0.091789568,28.71,323.5,-894,0
"22/08/1990 00:00",1.9277,1.349345567,145.72,0.090520576,31.22,317.2,-720,0
"23/08/1990 00:00",1.9525,1.354462955,146.25,0.086758688,31.93,306.25,-529,3
"24/08/1990 00:00",1.952,1.352630867,146.1,0.085410496,30.91,313,-772,1
"28/08/1990 00:00",1.9485,1.354096141,143.25,0.083294096,27.88,322.65,-976,1
"29/08/1990 00:00",1.9482,1.35098622,143.75,0.084255888,25.92,323.85,-1451,2
"30/08/1990 00:00",1.9252,1.341741581,144.32,0.086676048,26.77,318.55,-1939,6
"31/08/1990 00:00",1.8907,1.331203408,143.9,0.090073328,27.32,322.55,-2524,7
"04/09/1990 00:00",1.8752,1.325029813,143.62,0.090099328,29.12,324.25,2891,4
"05/09/1990 00:00",1.8952,1.338688086,141.77,0.093798064,29.77,324.85,-453,10
"06/09/1990 00:00",1.9037,1.344447432,141.12,0.094267424,31.43,320.75,-2640,4
"07/09/1990 00:00",1.8907,1.338867318,140.2,0.095538928,30.04,323.65,-3508,4
"10/09/1990 00:00",1.8612,1.327844908,139,0.09889552,31.3,321.45,-571,8
"11/09/1990 00:00",1.8462,1.317175975,139.87,0.101302752,30.76,321.75,1059,8
"12/09/1990 00:00",1.8655,1.323276432,137.65,0.096992752,30.97,322.15,451,4
"13/09/1990 00:00",1.8645,1.32222663,138,0.096924928,31.07,318.55,1460,0
"14/09/1990 00:00",1.8952,1.341741581,136.45,0.104086368,31.76,319.45,1633,14
"17/09/1990 00:00",1.906,1.348072257,137.1,0.103150864,33.63,321.1,2849,4
"18/09/1990 00:00",1.9187,1.352630867,137.35,0.098783216,33.41,321.6,-2731,3
"19/09/1990 00:00",1.8855,1.3374348,137.55,0.104232608,33.18,318.7,566,11
"20/09/1990 00:00",1.87,1.328021248,136.8,0.101858896,33.42,314.4,1539,7
"21/09/1990 00:00",1.8515,1.332267519,136.85,0.102208976,35.43,314.6,2264,3
"24/09/1990 00:00",1.8817,1.343363783,135.55,0.1047596,38.25,307.3,1431,8
"25/09/1990 00:00",1.887,1.341741581,136.97,0.098899568,37.53,311.3,1309,1
"26/09/1990 00:00",1.8656,1.336541032,137.4,0.099266704,38.67,308.3,1811,3
"27/09/1990 00:00",1.867,1.334757074,138.37,0.095985568,39.54,302.7,1057,1
"28/09/1990 00:00",1.8705,1.337971635,138.12,0.095812192,39.51,306.75,1909,2
"01/10/1990 00:00",1.8897,1.350803728,137.05,0.09839672,37.09,318.25,-3134,9
"02/10/1990 00:00",1.8855,1.346619984,136.92,0.097714528,33.95,318.35,-3650,3
"03/10/1990 00:00",1.896,1.353363107,136.17,0.098801472,37.32,313.7,-593,4
"04/10/1990 00:00",1.9087,1.363326517,134.05,0.101014032,36.93,315.3,-169,7
"05/10/1990 00:00",1.9185,1.363140676,132.35,0.10048272,37.99,314.85,-2932,0
"08/10/1990 00:00",1.9715,1.365187713,130.47,0.10043584,38.95,317.4,-1035,1
"09/10/1990 00:00",1.9705,1.372495196,130.67,0.101489488,40.4,305.75,-658,5
"10/10/1990 00:00",1.9725,1.371742112,130.45,0.101199312,38.69,302.2,-900,0
"11/10/1990 00:00",1.9615,1.364628821,130.37,0.100239392,40.42,297.35,-1100,5
"12/10/1990 00:00",1.9735,1.376841526,128.7,0.099747984,39.69,301.7,-1483,8
"15/10/1990 00:00",1.9512,1.375705049,127.95,0.098340448,37.95,306,-2317,0
"16/10/1990 00:00",1.957,1.380071764,127.95,0.098434384,38.89,301.25,-2518,3
"17/10/1990 00:00",1.9692,1.388117712,125.3,0.095707104,36.72,300.6,-1140,5
"18/10/1990 00:00",1.9542,1.385809313,125.35,0.0955944,36.8,308.15,-1011,1
"19/10/1990 00:00",1.9605,1.391401141,126.35,0.094673344,33.79,313.05,-751,4
"22/10/1990 00:00",1.951,1.384466288,126.37,0.092211408,30.41,315.5,-1489,5
"23/10/1990 00:00",1.9465,1.37988133,127.4,0.0888944,29.37,313.8,-1741,3
"24/10/1990 00:00",1.954,1.386385692,128.05,0.08891968,31.08,315.45,-1085,4
"25/10/1990 00:00",1.9585,1.388888889,126.8,0.088637856,34.25,311.4,-993,1
"26/10/1990 00:00",1.954,1.38102472,127.97,0.081934272,33.01,306.25,-1242,5
"29/10/1990 00:00",1.9535,1.383125864,128.27,0.08117368,34.68,304,-1806,1
"30/10/1990 00:00",1.9432,1.373626374,129.35,0.083856672,34.54,306.2,-2070,6
"31/10/1990 00:00",1.9445,1.381406272,129.55,0.077127248,35.23,306.8,-2232,5
"01/11/1990 00:00",1.9472,1.388117712,130.6,0.073804304,35.17,308.45,-2630,4
"02/11/1990 00:00",1.952,1.393728223,128.65,0.074017696,34,313.2,-2536,4
"05/11/1990 00:00",1.9632,1.400952648,127.15,0.072023104,31.96,315.4,-3635,5
"06/11/1990 00:00",1.975,1.409641951,127.17,0.072892192,32.63,311.8,-3143,6
"07/11/1990 00:00",1.9755,1.413028119,127.87,0.070970464,35.31,307.25,-3002,2
"08/11/1990 00:00",1.961,1.400560224,129.92,0.077099184,35.53,309.8,-3353,8
"09/11/1990 00:00",1.9657,1.404099972,129.82,0.077110848,33.89,315.55,-227,2
"12/11/1990 00:00",1.9655,1.412828483,128.77,0.074649856,31.87,320.5,-2846,6
"13/11/1990 00:00",1.9647,1.414027149,129.25,0.073382912,33.12,319.15,-3189,0
"14/11/1990 00:00",1.963,1.417836382,129.52,0.072755632,31.16,321.7,-56,2
"15/11/1990 00:00",1.9577,1.411631846,129.32,0.07258664,31.12,318.05,-3735,4
"16/11/1990 00:00",1.9665,1.418842225,129.4,0.073365888,29.78,319.3,-3586,5
"19/11/1990 00:00",1.9747,1.421060111,128.6,0.073367328,30.72,321.15,-2616,1
"20/11/1990 00:00",1.971,1.41382723,128.82,0.074668832,28.91,316.8,-2685,5
"21/11/1990 00:00",1.9695,1.41382723,127.37,0.074586208,29.63,317.85,-3239,0
"23/11/1990 00:00",1.9672,1.405481377,127.32,0.070199472,31.9,315.5,-3462,5
"26/11/1990 00:00",1.9637,1.399384271,128.87,0.071608784,32.95,318.2,-152,4
"27/11/1990 00:00",1.9745,1.41023833,128.5,0.074258048,32.86,319.65,-2384,7
"28/11/1990 00:00",1.9722,1.407261469,129.72,0.073059856,33.28,319.25,-2921,2
"29/11/1990 00:00",1.9645,1.403705783,131.15,0.073324928,32.91,316.75,-3765,2
"30/11/1990 00:00",1.937,1.389081817,133.62,0.079052016,28.85,324.05,3031,10
"03/12/1990 00:00",1.9252,1.384849744,134.37,0.078178144,29.15,324.4,784,3
"04/12/1990 00:00",1.9272,1.388696014,133.87,0.077914592,30.66,328.2,1231,2
"05/12/1990 00:00",1.9262,1.388117712,134.52,0.076736352,27.29,331.8,1421,0
"06/12/1990 00:00",1.9365,1.396648045,132.35,0.078628208,26.4,330.5,3428,6
"07/12/1990 00:00",1.9475,1.407261469,131.22,0.079426752,26.58,328.25,2311,7
"10/12/1990 00:00",1.9505,1.416831964,131.62,0.08140864,26.9,329.65,1615,6
"11/12/1990 00:00",1.9415,1.410636197,131.57,0.079625504,26.41,328.55,3329,4
"12/12/1990 00:00",1.943,1.40944327,131.77,0.078448448,25.35,331.55,3501,0
"13/12/1990 00:00",1.945,1.407657658,131.92,0.077603376,26.42,329.95,2799,1
"14/12/1990 00:00",1.9405,1.403705783,132.65,0.077401216,26.55,329.65,348,2
"17/12/1990 00:00",1.93,1.399384271,133.05,0.076508272,27.05,329.15,1177,3
"18/12/1990 00:00",1.9345,1.401148942,133.1,0.074294384,27.86,333.1,586,1
"19/12/1990 00:00",1.9322,1.406271973,134,0.07476904,26.93,331.9,371,3
"20/12/1990 00:00",1.9167,1.391788448,134.47,0.076408672,26.39,332.85,1325,10
"21/12/1990 00:00",1.886,1.365001365,135.82,0.094302848,25.92,334.75,2312,19
"24/12/1990 00:00",1.8745,1.354829969,135.9,0.093624192,25.92,331.2,2481,7
"27/12/1990 00:00",1.8872,1.361470388,136.6,0.095210592,27.01,330.8,2511,4
"28/12/1990 00:00",1.9147,1.385809313,135.47,0.109732624,27.57,331.65,1482,17
"31/12/1990 00:00",1.9295,1.390820584,135.75,0.109887072,28.44,330.65,545,3
"02/01/1991 00:00",1.9385,1.395478649,134.85,0.109217696,26.49,326.85,-1952,3
"03/01/1991 00:00",1.9477,1.39586823,133.12,0.109062544,25.48,324.15,45,0
"04/01/1991 00:00",1.9367,1.385425326,134.65,0.110161456,24.9,323.25,-3371,7
"07/01/1991 00:00",1.9052,1.362212233,136.7,0.119875504,27.65,317.55,704,17
"08/01/1991 00:00",1.9055,1.360914535,136.4,0.11982632,27.17,317.2,1353,0
"09/01/1991 00:00",1.923,1.374381528,134.45,0.123828544,27.26,312.65,1076,9
"10/01/1991 00:00",1.9065,1.362026696,134.8,0.125771056,27.71,316,2072,9
"11/01/1991 00:00",1.9065,1.362212233,134.1,0.123100464,27.29,316.2,1781,0
"14/01/1991 00:00",1.906,1.351899419,135.1,0.124512576,30.78,314.35,2031,7
"15/01/1991 00:00",1.9055,1.352265044,135.6,0.124544624,30.07,314.35,2028,0
"16/01/1991 00:00",1.9035,1.349892009,136.65,0.121406576,32,318.15,1953,1
"17/01/1991 00:00",1.921,1.373815084,133.65,0.132679008,21.44,332,288,17
